="",="w=0",="w=.15",="w=.2",="w=.25"
="h90/h10",="2.24",="",="",=""
="h90/h10 / y90/y10",="0.11",="",="",=""
="var(log(h)/var(log(y)",="0.07",="",="",=""
="ln(h90)-ln(h10) / ln(y90)-ln(y10)",="0.27",="",="",=""
="h90/h10",="",="3.35",="",=""
="h90/h10 / y90/y10",="",="0.16",="",=""
="var(log(h)/var(log(y)",="",="0.14",="",=""
="ln(h90)-ln(h10) / ln(y90)-ln(y10)",="",="0.40",="",=""
="h90/h10",="",="",="3.82",=""
="h90/h10 / y90/y10",="",="",="0.19",=""
="var(log(h)/var(log(y)",="",="",="0.18",=""
="ln(h90)-ln(h10) / ln(y90)-ln(y10)",="",="",="0.44",=""
="h90/h10",="",="",="",="4.34"
="h90/h10 / y90/y10",="",="",="",="0.21"
="var(log(h)/var(log(y)",="",="",="",="0.21"
="ln(h90)-ln(h10) / ln(y90)-ln(y10)",="",="",="",="0.49"
